question,answer
What is hallucination in AI?,Hallucination occurs when an AI model generates incorrect or fabricated information that appears believable.
What is context window?,A context window is the amount of information an AI model can consider while generating a response.
What is retrieval in RAG?,Retrieval is the process of fetching relevant information from a knowledge base before generating an answer.
What is semantic search?,Semantic search finds information based on meaning and context rather than exact keyword matching.
What is vector similarity search?,Vector similarity search finds data points that are closest in meaning using vector representations.
What is chunking in RAG?,Chunking is the process of splitting large documents into smaller sections for retrieval and processing.
Why are embeddings important?,Embeddings capture semantic meaning and enable similarity search recommendation systems and retrieval tasks.
What is a vector embedding?,A vector embedding is a numerical representation of text images or other data in a high dimensional space.
What is prompt chaining?,Prompt chaining involves linking multiple prompts together to solve complex tasks step by step.
What is chain of thought prompting?,Chain of thought prompting encourages a model to reason through intermediate steps before giving an answer.
What is temperature in AI models?,Temperature controls the randomness and creativity of responses generated by AI models.
What is token limit?,A token limit is the maximum number of tokens an AI model can process in a single request.
What is model inference?,Inference is the process of using a trained model to make predictions or generate outputs.
What is model training?,Model training is the process of teaching a model using data and optimization algorithms.
What is gradient descent?,Gradient descent is an optimization algorithm used to minimize errors during model training.
What is backpropagation?,Backpropagation is a learning algorithm used to update neural network weights based on prediction errors.
What is precision in machine learning?,Precision measures the proportion of positive predictions that are actually correct.
What is recall in machine learning?,Recall measures the proportion of actual positive cases correctly identified by a model.
What is F1 score?,F1 score is the harmonic mean of precision and recall used to evaluate classification models.
What is confusion matrix?,A confusion matrix is a table used to evaluate the performance of a classification model.
What is data preprocessing?,Data preprocessing involves cleaning transforming and preparing raw data before model training.
What is feature selection?,Feature selection is the process of choosing the most relevant features for model training.
What is explainable AI?,Explainable AI focuses on making AI model decisions understandable to humans.
What is responsible AI?,Responsible AI refers to developing and using AI systems in an ethical fair and transparent manner.
What is AI ethics?,AI ethics involves principles and guidelines for the responsible development and deployment of AI systems.
What is model deployment?,Model deployment is the process of making a trained machine learning model available for real world use.
What is supervised classification?,Supervised classification is a machine learning technique that assigns predefined labels to input data.
What is anomaly detection?,Anomaly detection identifies unusual patterns or outliers in data.
What is dimensionality reduction?,Dimensionality reduction reduces the number of features while preserving important information.
What is PCA?,Principal Component Analysis is a dimensionality reduction technique that transforms data into fewer variables.
What is data visualization?,Data visualization is the graphical representation of data using charts graphs and dashboards.
What is big data?,Big data refers to extremely large and complex datasets that require advanced processing techniques.
What is data analytics?,Data analytics is the process of examining data to discover useful insights and support decision making.
What is predictive analytics?,Predictive analytics uses historical data and machine learning to forecast future outcomes.
What is business intelligence?,Business Intelligence uses data analysis and reporting tools to support business decisions.
What is cloud computing?,Cloud computing provides on demand access to computing resources over the internet.
What is edge AI?,Edge AI runs artificial intelligence models directly on local devices instead of cloud servers.
What is federated learning?,Federated learning trains machine learning models across multiple devices without sharing raw data.
What is synthetic data?,Synthetic data is artificially generated data used for training testing and research purposes.
What is data augmentation?,Data augmentation increases training data by creating modified versions of existing data.
What is knowledge distillation?,Knowledge distillation transfers knowledge from a large model to a smaller model.
What is model compression?,Model compression reduces the size and computational requirements of machine learning models.
What is AI agent?,An AI agent is a system that can perceive its environment make decisions and perform actions to achieve goals.
What is autonomous AI?,Autonomous AI refers to systems that can operate and make decisions with minimal human intervention.
What is conversational AI?,Conversational AI enables machines to interact with humans using natural language conversations.
What is AI automation?,AI automation combines artificial intelligence with automated workflows to perform tasks efficiently.
